10000; 0.000
20000; 0.000
30000; 0.000
40000; 0.000
50000; 0.000
60000; 0.000
70000; 0.000
80000; 0.000
90000; 0.000
100000; 0.000
100000; 0.000
200000; 0.001
300000; 0.000
1000000; 0.003
2000000; 0.006
1000000; 0.003
1100000; 0.004
1200000; 0.004
1300000; 0.004
1400000; 0.005
1500000; 0.004
1600000; 0.005
1700000; 0.007
1800000; 0.006
1900000; 0.009
2000000; 0.007
1000000; 0.003
1100000; 0.004
1200000; 0.004
1300000; 0.004
1400000; 0.004
1500000; 0.005
1600000; 0.005
1700000; 0.005
1800000; 0.005
1900000; 0.007
2000000; 0.007
