100000; 0.010
200000; 0.020
300000; 0.026
400000; 0.033
500000; 0.048
600000; 0.053
700000; 0.061
800000; 0.066
900000; 0.081
1000000; 0.089
100000; 0.009
200000; 0.016
300000; 0.025
400000; 0.032
500000; 0.044
600000; 0.052
700000; 0.061
800000; 0.070
900000; 0.080
1000000; 0.091
100000; 0.008
200000; 0.015
300000; 0.024
400000; 0.033
500000; 0.041
600000; 0.053
700000; 0.065
800000; 0.068
900000; 0.088
1000000; 0.094
100000; 0.008
200000; 0.015
300000; 0.025
400000; 0.032
500000; 0.042
600000; 0.053
700000; 0.061
800000; 0.066
900000; 0.083
1000000; 0.089
100000; 0.007
200000; 0.015
300000; 0.025
400000; 0.031
500000; 0.043
600000; 0.051
700000; 0.060
800000; 0.066
900000; 0.080
1000000; 0.090
100000; 0.007
200000; 0.016
300000; 0.026
400000; 0.033
500000; 0.043
600000; 0.053
700000; 0.060
800000; 0.068
900000; 0.077
1000000; 0.087
100000; 0.008
200000; 0.015
300000; 0.025
400000; 0.031
500000; 0.045
600000; 0.052
700000; 0.058
800000; 0.069
900000; 0.079
1000000; 0.087
