100000; 0.031
200000; 0.082
300000; 0.103
400000; 0.142
500000; 0.178
600000; 0.214
700000; 0.253
800000; 0.319
900000; 0.337
1000000; 0.383
100000; 0.027
200000; 0.070
300000; 0.094
400000; 0.129
500000; 0.162
600000; 0.208
700000; 0.250
800000; 0.297
900000; 0.333
1000000; 0.355
100000; 0.030
200000; 0.066
300000; 0.092
400000; 0.147
500000; 0.180
600000; 0.206
700000; 0.248
800000; 0.338
900000; 0.334
1000000; 0.416
100000; 0.029
200000; 0.067
300000; 0.093
400000; 0.146
500000; 0.180
600000; 0.212
700000; 0.242
800000; 0.315
900000; 0.321
1000000; 0.395
100000; 0.028
200000; 0.063
300000; 0.098
400000; 0.140
500000; 0.168
600000; 0.212
700000; 0.240
800000; 0.309
900000; 0.341
1000000; 0.389
100000; 0.028
200000; 0.064
300000; 0.090
400000; 0.137
500000; 0.171
600000; 0.205
700000; 0.253
800000; 0.304
900000; 0.333
1000000; 0.379
100000; 0.029
200000; 0.067
300000; 0.096
400000; 0.136
500000; 0.175
600000; 0.212
700000; 0.253
800000; 0.313
900000; 0.327
1000000; 0.380
