10000; 0.099
20000; 0.375
10000; 0.096
20000; 0.378
30000; 0.838
40000; 1.496
10000; 0.098
20000; 0.373
30000; 0.849
40000; 1.572
50000; 2.330
60000; 3.406
10000; 0.097
20000; 0.377
10000; 0.095
20000; 0.376
10000; 0.099
20000; 0.374
30000; 0.854
40000; 1.500
50000; 2.350
60000; 3.404
70000; 4.705
80000; 6.274
10000; 0.097
20000; 0.379
30000; 0.877
40000; 1.564
50000; 2.453
60000; 3.420
70000; 4.692
10000; 0.103
10000; 0.100
10000; 0.098
20000; 0.379
30000; 0.845
40000; 1.500
50000; 2.372
60000; 3.408
70000; 4.685
80000; 6.261
90000; 7.640
100000; 9.875
