10000; 0.099
20000; 0.376
30000; 0.850
10000; 0.095
20000; 0.373
30000; 0.840
40000; 1.495
50000; 2.322
10000; 0.104
20000; 0.376
30000; 0.850
40000; 1.564
50000; 2.338
60000; 3.444
10000; 0.245
20000; 1.004
10000; 0.241
20000; 0.952
10000; 0.240
20000; 0.984
30000; 2.287
40000; 4.018
50000; 6.411
60000; 9.644
70000; 13.113
80000; 17.487
10000; 0.236
20000; 0.993
30000; 2.347
40000; 4.244
50000; 6.740
60000; 9.634
70000; 13.191
10000; 0.237
10000; 0.232
10000; 0.229
20000; 0.959
30000; 2.229
40000; 4.027
50000; 6.375
60000; 9.487
70000; 13.063
80000; 17.827
90000; 21.637
100000; 28.269
